pillar  code    timestamp
4	99	2016-11-17-12-47-05-989
4	97	2016-11-17-12-47-07-315
2	97	2016-11-17-12-47-17-712
2	98	2016-11-17-12-47-17-857
2	97	2016-11-17-12-47-19-168
2	98	2016-11-17-12-47-19-486
2	97	2016-11-17-12-47-22-077
2	98	2016-11-17-12-47-25-371
2	97	2016-11-17-12-47-26-409
2	98	2016-11-17-12-47-33-097
2	100	2016-11-17-12-47-37-041
2	99	2016-11-17-12-47-39-298
2	97	2016-11-17-12-47-40-486
2	98	2016-11-17-12-48-24-571
2	100	2016-11-17-12-48-28-642
2	99	2016-11-17-12-48-30-229
2	100	2016-11-17-12-48-34-259
1	98	2016-11-17-12-48-34-633
2	99	2016-11-17-12-48-34-999
1	100	2016-11-17-12-48-37-443
2	97	2016-11-17-12-48-43-164
2	98	2016-11-17-12-48-44-516
2	100	2016-11-17-12-48-46-236
1	99	2016-11-17-12-48-47-299
1	100	2016-11-17-12-48-47-651
2	99	2016-11-17-12-48-49-207
2	100	2016-11-17-12-48-49-981
1	99	2016-11-17-12-48-51-554
1	100	2016-11-17-12-48-51-728
2	99	2016-11-17-12-48-53-074
2	100	2016-11-17-12-48-54-214
2	99	2016-11-17-12-48-55-765
1	99	2016-11-17-12-48-56-645
2	97	2016-11-17-12-48-57-527
1	97	2016-11-17-12-48-57-682
2	98	2016-11-17-12-48-58-141
2	97	2016-11-17-12-48-58-297
4	98	2016-11-17-12-48-59-065
4	100	2016-11-17-12-49-02-157
4	99	2016-11-17-12-49-03-875
4	100	2016-11-17-12-49-05-853
4	99	2016-11-17-12-49-09-381
4	97	2016-11-17-12-49-11-018
4	98	2016-11-17-12-49-11-320
4	97	2016-11-17-12-49-11-486
3	98	2016-11-17-12-49-11-935
3	100	2016-11-17-12-49-16-676
3	99	2016-11-17-12-49-18-818
3	97	2016-11-17-12-49-20-898
0	98	2016-11-17-12-51-00-282
0	100	2016-11-17-12-51-02-033
1	98	2016-11-17-12-51-22-461
1	100	2016-11-17-12-51-23-561
0	99	2016-11-17-12-51-23-757
0	97	2016-11-17-12-51-24-909
1	99	2016-11-17-12-51-25-870
1	100	2016-11-17-12-51-27-058
1	99	2016-11-17-12-51-28-039
1	100	2016-11-17-12-51-29-088
1	99	2016-11-17-12-51-30-612
1	100	2016-11-17-12-51-31-666
1	99	2016-11-17-12-51-34-579
1	97	2016-11-17-12-51-36-073
2	98	2016-11-17-12-54-47-862
2	100	2016-11-17-12-54-50-095
2	99	2016-11-17-12-54-54-986
2	97	2016-11-17-12-54-56-529
4	98	2016-11-17-12-54-59-280
4	100	2016-11-17-12-55-00-461
1	98	2016-11-17-12-55-02-873
1	100	2016-11-17-12-55-04-084
4	99	2016-11-17-12-55-04-853
4	100	2016-11-17-12-55-05-241
4	99	2016-11-17-12-55-06-787
4	97	2016-11-17-12-55-07-536
